Entity,Code,Year,"Number of daily male smokers (IHME, GHDx (2012))","Number of daily female smokers (IHME, GHDx (2012))"
Afghanistan,AFG,1980,651813,81707
Afghanistan,AFG,1981,640826,79276
Afghanistan,AFG,1982,624355,76061
Afghanistan,AFG,1983,604572,72411
Afghanistan,AFG,1984,584905,68908
Afghanistan,AFG,1985,568786,65946
Afghanistan,AFG,1986,556301,63570
Afghanistan,AFG,1987,546936,61716
Afghanistan,AFG,1988,545540,60768
Afghanistan,AFG,1989,558210,61324
Afghanistan,AFG,1990,588319,63711
Afghanistan,AFG,1991,638989,68289
Afghanistan,AFG,1992,708380,74721
Afghanistan,AFG,1993,787847,82119
Afghanistan,AFG,1994,865100,89356
Afghanistan,AFG,1995,932830,95703
Afghanistan,AFG,1996,985659,100795
Afghanistan,AFG,1997,1025349,106644
Afghanistan,AFG,1998,1052159,111314
Afghanistan,AFG,1999,1077138,115541
Afghanistan,AFG,2000,1108812,120114
Afghanistan,AFG,2001,1149511,125384
Afghanistan,AFG,2002,1198356,131469
Afghanistan,AFG,2003,1252098,137947
Afghanistan,AFG,2004,1305098,144378
Afghanistan,AFG,2005,1353950,150483
Afghanistan,AFG,2006,1397587,156158
Afghanistan,AFG,2007,1437977,161714
Afghanistan,AFG,2008,1476933,167313
Afghanistan,AFG,2009,1518511,173446
Afghanistan,AFG,2010,1563656,179969
Afghanistan,AFG,2011,1613527,186782
Afghanistan,AFG,2012,1668864,193836
Albania,ALB,1980,333318,27584
Albania,ALB,1981,343245,28413
Albania,ALB,1982,353311,29246
Albania,ALB,1983,363785,30082
Albania,ALB,1984,374972,30947
Albania,ALB,1985,387002,31869
Albania,ALB,1986,400193,32809
Albania,ALB,1987,414231,33774
Albania,ALB,1988,427897,34717
Albania,ALB,1989,439003,35487
Albania,ALB,1990,446803,36047
Albania,ALB,1991,451479,36412
Albania,ALB,1992,452844,36574
Albania,ALB,1993,451527,36552
Albania,ALB,1994,449317,36458
Albania,ALB,1995,447238,36355
Albania,ALB,1996,445488,36235
Albania,ALB,1997,439233,35989
Albania,ALB,1998,434630,35767
Albania,ALB,1999,430428,35466
Albania,ALB,2000,426043,35035
Albania,ALB,2001,421364,34513
Albania,ALB,2002,416609,34027
Albania,ALB,2003,401310,33277
Albania,ALB,2004,389803,33057
Albania,ALB,2005,392414,34169
Albania,ALB,2006,398020,35832
Albania,ALB,2007,405916,37914
Albania,ALB,2008,415547,40251
Albania,ALB,2009,426584,42768
Albania,ALB,2010,437103,44575
Albania,ALB,2011,448520,46461
Albania,ALB,2012,460614,48426
Algeria,DZA,1980,1591668,44442
Algeria,DZA,1981,1650458,45828
Algeria,DZA,1982,1712108,47141
Algeria,DZA,1983,1777788,48495
Algeria,DZA,1984,1846585,49825
Algeria,DZA,1985,1918414,51172
Algeria,DZA,1986,1993272,52557
Algeria,DZA,1987,2071351,53944
Algeria,DZA,1988,2155965,55520
Algeria,DZA,1989,2244871,57180
Algeria,DZA,1990,2337909,58967
Algeria,DZA,1991,2436188,60977
Algeria,DZA,1992,2539310,62893
Algeria,DZA,1993,2649251,64808
Algeria,DZA,1994,2765029,66621
Algeria,DZA,1995,2885697,68475
Algeria,DZA,1996,3011235,70447
Algeria,DZA,1997,3066661,72246
Algeria,DZA,1998,3116375,73875
Algeria,DZA,1999,3167655,75392
Algeria,DZA,2000,3219270,76851
Algeria,DZA,2001,3265647,78444
Algeria,DZA,2002,3298655,80134
Algeria,DZA,2003,3215964,81728
Algeria,DZA,2004,3121941,83812
Algeria,DZA,2005,3028623,86448
Algeria,DZA,2006,2960591,90939
Algeria,DZA,2007,2903472,96011
Algeria,DZA,2008,2860712,101419
Algeria,DZA,2009,2837446,107066
Algeria,DZA,2010,2835213,112915
Algeria,DZA,2011,2910972,117718
Algeria,DZA,2012,3000430,122671
Andorra,AND,1980,4391,3244
Andorra,AND,1981,4994,3676
Andorra,AND,1982,5323,3909
Andorra,AND,1983,5606,4105
Andorra,AND,1984,5814,4244
Andorra,AND,1985,6128,4457
Andorra,AND,1986,6439,4663
Andorra,AND,1987,6644,4791
Andorra,AND,1988,6901,4960
Andorra,AND,1989,7071,5067
Andorra,AND,1990,7378,5272
Andorra,AND,1991,7900,5629
Andorra,AND,1992,8368,5937
Andorra,AND,1993,8793,6207
Andorra,AND,1994,9000,6324
Andorra,AND,1995,8946,6255
Andorra,AND,1996,8984,6256
Andorra,AND,1997,9069,6318
Andorra,AND,1998,9148,6400
Andorra,AND,1999,9156,6442
Andorra,AND,2000,9100,6442
Andorra,AND,2001,9038,6441
Andorra,AND,2002,9039,6477
Andorra,AND,2003,9269,6683
Andorra,AND,2004,9695,7039
Andorra,AND,2005,9893,7228
Andorra,AND,2006,9983,7339
Andorra,AND,2007,10109,7467
Andorra,AND,2008,10177,7539
Andorra,AND,2009,10191,7559
Andorra,AND,2010,10174,7544
Andorra,AND,2011,10158,7528
Andorra,AND,2012,10216,7542
Angola,AGO,1980,331804,23628
Angola,AGO,1981,344356,24330
Angola,AGO,1982,357951,25088
Angola,AGO,1983,371975,25849
Angola,AGO,1984,385683,26596
Angola,AGO,1985,398476,27310
Angola,AGO,1986,410002,27988
Angola,AGO,1987,420293,28647
Angola,AGO,1988,429912,29311
Angola,AGO,1989,440031,30010
Angola,AGO,1990,451343,30761
Angola,AGO,1991,464225,31601
Angola,AGO,1992,478584,32563
Angola,AGO,1993,494905,33604
Angola,AGO,1994,511413,34617
Angola,AGO,1995,527270,35600
Angola,AGO,1996,541308,36546
Angola,AGO,1997,555304,38334
Angola,AGO,1998,569400,40950
Angola,AGO,1999,584547,43849
Angola,AGO,2000,601257,46818
Angola,AGO,2001,620221,49824
Angola,AGO,2002,640216,52818
Angola,AGO,2003,661704,55809
Angola,AGO,2004,683860,58755
Angola,AGO,2005,705528,61608
Angola,AGO,2006,726667,64417
Angola,AGO,2007,747739,67120
Angola,AGO,2008,769559,69819
Angola,AGO,2009,793103,72575
Angola,AGO,2010,818200,75343
Angola,AGO,2011,844787,78239
Angola,AGO,2012,872950,81267
Antigua and Barbuda,ATG,1980,1836,589
Antigua and Barbuda,ATG,1981,1814,584
Antigua and Barbuda,ATG,1982,1790,580
Antigua and Barbuda,ATG,1983,1741,572
Antigua and Barbuda,ATG,1984,1670,558
Antigua and Barbuda,ATG,1985,1591,542
Antigua and Barbuda,ATG,1986,1504,523
Antigua and Barbuda,ATG,1987,1421,504
Antigua and Barbuda,ATG,1988,1348,487
Antigua and Barbuda,ATG,1989,1291,474
Antigua and Barbuda,ATG,1990,1257,466
Antigua and Barbuda,ATG,1991,1248,464
Antigua and Barbuda,ATG,1992,1261,468
Antigua and Barbuda,ATG,1993,1283,475
Antigua and Barbuda,ATG,1994,1306,486
Antigua and Barbuda,ATG,1995,1333,502
Antigua and Barbuda,ATG,1996,1353,520
Antigua and Barbuda,ATG,1997,1366,538
Antigua and Barbuda,ATG,1998,1376,556
Antigua and Barbuda,ATG,1999,1385,571
Antigua and Barbuda,ATG,2000,1396,581
Antigua and Barbuda,ATG,2001,1412,586
Antigua and Barbuda,ATG,2002,1428,587
Antigua and Barbuda,ATG,2003,1443,585
Antigua and Barbuda,ATG,2004,1455,584
Antigua and Barbuda,ATG,2005,1464,588
Antigua and Barbuda,ATG,2006,1466,594
Antigua and Barbuda,ATG,2007,1465,604
Antigua and Barbuda,ATG,2008,1471,617
Antigua and Barbuda,ATG,2009,1486,634
Antigua and Barbuda,ATG,2010,1508,648
Antigua and Barbuda,ATG,2011,1536,662
Antigua and Barbuda,ATG,2012,1563,673
Argentina,ARG,1980,2931602,2210148
Argentina,ARG,1981,2946423,2229579
Argentina,ARG,1982,2971286,2251315
Argentina,ARG,1983,2997959,2272455
Argentina,ARG,1984,3025950,2292309
Argentina,ARG,1985,3059832,2316159
Argentina,ARG,1986,3087962,2339868
Argentina,ARG,1987,3116779,2366461
Argentina,ARG,1988,3150938,2396695
Argentina,ARG,1989,3194233,2432776
Argentina,ARG,1990,3240123,2471415
Argentina,ARG,1991,3278627,2509421
Argentina,ARG,1992,3312207,2550732
Argentina,ARG,1993,3345061,2592532
Argentina,ARG,1994,3375376,2633558
Argentina,ARG,1995,3413485,2678275
Argentina,ARG,1996,3450831,2724716
Argentina,ARG,1997,3465842,2744874
Argentina,ARG,1998,3478021,2753661
Argentina,ARG,1999,3501425,2765402
Argentina,ARG,2000,3535396,2780452
Argentina,ARG,2001,3581073,2797441
Argentina,ARG,2002,3639723,2821133
Argentina,ARG,2003,3690347,2839831
Argentina,ARG,2004,3726730,2851670
Argentina,ARG,2005,3747559,2850828
Argentina,ARG,2006,3730200,2813769
Argentina,ARG,2007,3707695,2770469
Argentina,ARG,2008,3692988,2723762
Argentina,ARG,2009,3678848,2669364
Argentina,ARG,2010,3637755,2580572
Argentina,ARG,2011,3592711,2492561
Argentina,ARG,2012,3562587,2425107
Armenia,ARM,1980,532890,27387
Armenia,ARM,1981,548377,28215
Armenia,ARM,1982,562811,28962
Armenia,ARM,1983,576567,29650
Armenia,ARM,1984,590186,30345
Armenia,ARM,1985,604063,31100
Armenia,ARM,1986,618516,31953
Armenia,ARM,1987,633141,32903
Armenia,ARM,1988,645824,33858
Armenia,ARM,1989,653967,34691
Armenia,ARM,1990,655997,35312
Armenia,ARM,1991,651103,35697
Armenia,ARM,1992,640864,35943
Armenia,ARM,1993,627057,36028
Armenia,ARM,1994,612695,36139
Armenia,ARM,1995,600987,36245
Armenia,ARM,1996,592738,36353
Armenia,ARM,1997,584546,34646
Armenia,ARM,1998,579455,33231
Armenia,ARM,1999,577233,31982
Armenia,ARM,2000,577195,30650
Armenia,ARM,2001,577112,28353
Armenia,ARM,2002,579996,26413
Armenia,ARM,2003,585074,24813
Armenia,ARM,2004,590862,23514
Armenia,ARM,2005,596512,22475
Armenia,ARM,2006,598431,21728
Armenia,ARM,2007,599125,21156
Armenia,ARM,2008,599440,20715
Armenia,ARM,2009,600384,20441
Armenia,ARM,2010,602177,20340
Armenia,ARM,2011,606352,20498
Armenia,ARM,2012,610265,20821
Australia,AUS,1980,1870510,1484506
Australia,AUS,1981,1868674,1495378
Australia,AUS,1982,1870669,1509591
Australia,AUS,1983,1868222,1523179
Australia,AUS,1984,1845606,1529566
Australia,AUS,1985,1818295,1535634
Australia,AUS,1986,1795458,1539312
Australia,AUS,1987,1781248,1539836
Australia,AUS,1988,1774684,1538660
Australia,AUS,1989,1776807,1541013
Australia,AUS,1990,1792838,1545244
Australia,AUS,1991,1809519,1550622
Australia,AUS,1992,1822121,1556379
Australia,AUS,1993,1832023,1563979
Australia,AUS,1994,1823449,1566890
Australia,AUS,1995,1811654,1571260
Australia,AUS,1996,1798449,1571726
Australia,AUS,1997,1784160,1566609
Australia,AUS,1998,1770507,1557835
Australia,AUS,1999,1755368,1530452
Australia,AUS,2000,1746761,1503713
Australia,AUS,2001,1741934,1480815
Australia,AUS,2002,1735348,1461459
Australia,AUS,2003,1724204,1442434
Australia,AUS,2004,1706358,1422859
Australia,AUS,2005,1683315,1403957
Australia,AUS,2006,1659776,1384748
Australia,AUS,2007,1638339,1367864
Australia,AUS,2008,1627919,1360640
Australia,AUS,2009,1622685,1356975
Australia,AUS,2010,1602219,1341872
Australia,AUS,2011,1598082,1340226
Australia,AUS,2012,1606407,1354856
Austria,AUT,1980,928691,636203
Austria,AUT,1981,926053,626040
Austria,AUT,1982,936989,618649
Austria,AUT,1983,949404,611039
Austria,AUT,1984,968224,606807
Austria,AUT,1985,985750,604478
Austria,AUT,1986,1003161,607059
Austria,AUT,1987,1023319,624944
Austria,AUT,1988,1041982,648186
Austria,AUT,1989,1060211,675615
Austria,AUT,1990,1077794,704458
Austria,AUT,1991,1094066,732574
Austria,AUT,1992,1103531,757323
Austria,AUT,1993,1108241,775803
Austria,AUT,1994,1103092,782909
Austria,AUT,1995,1088054,777451
Austria,AUT,1996,1069431,768796
Austria,AUT,1997,1063741,771473
Austria,AUT,1998,1089051,802327
Austria,AUT,1999,1120013,841498
Austria,AUT,2000,1142052,878852
Austria,AUT,2001,1163135,915747
Austria,AUT,2002,1179128,946866
Austria,AUT,2003,1178268,957877
Austria,AUT,2004,1173210,959119
Austria,AUT,2005,1166338,943268
Austria,AUT,2006,1155991,924958
Austria,AUT,2007,1154263,912791
Austria,AUT,2008,1159015,905549
Austria,AUT,2009,1174508,904335
Austria,AUT,2010,1183597,904509
Austria,AUT,2011,1190758,906331
Austria,AUT,2012,1198771,910273
Azerbaijan,AZE,1980,796122,18303
Azerbaijan,AZE,1981,821808,18900
Azerbaijan,AZE,1982,847803,19499
Azerbaijan,AZE,1983,873115,20073
Azerbaijan,AZE,1984,896216,20591
Azerbaijan,AZE,1985,916289,21021
Azerbaijan,AZE,1986,934179,21409
Azerbaijan,AZE,1987,948906,21752
Azerbaijan,AZE,1988,962385,22078
Azerbaijan,AZE,1989,977110,22398
Azerbaijan,AZE,1990,993176,22692
Azerbaijan,AZE,1991,1012073,23010
Azerbaijan,AZE,1992,1029222,23238
Azerbaijan,AZE,1993,1044471,23416
Azerbaijan,AZE,1994,1056323,23633
Azerbaijan,AZE,1995,1064694,23797
Azerbaijan,AZE,1996,1070711,23972
Azerbaijan,AZE,1997,1075428,23994
Azerbaijan,AZE,1998,1081558,24060
Azerbaijan,AZE,1999,1092602,24220
Azerbaijan,AZE,2000,1109339,24421
Azerbaijan,AZE,2001,1131769,24761
Azerbaijan,AZE,2002,1159781,25202
Azerbaijan,AZE,2003,1192751,25761
Azerbaijan,AZE,2004,1228934,26369
Azerbaijan,AZE,2005,1270175,27108
Azerbaijan,AZE,2006,1317091,28022
Azerbaijan,AZE,2007,1366595,29041
Azerbaijan,AZE,2008,1415187,30055
Azerbaijan,AZE,2009,1462802,31062
Azerbaijan,AZE,2010,1508052,31967
Azerbaijan,AZE,2011,1549308,32782
Azerbaijan,AZE,2012,1588685,33504
Bahamas,BHS,1980,11230,3454
Bahamas,BHS,1981,11505,3549
Bahamas,BHS,1982,11777,3655
Bahamas,BHS,1983,12049,3771
Bahamas,BHS,1984,12288,3879
Bahamas,BHS,1985,12522,3989
Bahamas,BHS,1986,12770,4097
Bahamas,BHS,1987,13027,4209
Bahamas,BHS,1988,13298,4328
Bahamas,BHS,1989,13563,4454
Bahamas,BHS,1990,13868,4598
Bahamas,BHS,1991,14243,4765
Bahamas,BHS,1992,14676,4952
Bahamas,BHS,1993,15123,5150
Bahamas,BHS,1994,15536,5351
Bahamas,BHS,1995,15889,5552
Bahamas,BHS,1996,16169,5749
Bahamas,BHS,1997,16043,5622
Bahamas,BHS,1998,15987,5528
Bahamas,BHS,1999,16035,5476
Bahamas,BHS,2000,16213,5466
Bahamas,BHS,2001,16515,5500
Bahamas,BHS,2002,16923,5570
Bahamas,BHS,2003,17427,5668
Bahamas,BHS,2004,17975,5784
Bahamas,BHS,2005,18513,5903
Bahamas,BHS,2006,19040,6025
Bahamas,BHS,2007,19572,6157
Bahamas,BHS,2008,20131,6303
Bahamas,BHS,2009,20733,6453
Bahamas,BHS,2010,21331,6600
Bahamas,BHS,2011,21917,6740
Bahamas,BHS,2012,22471,6875
Bahrain,BHR,1980,35364,5472
Bahrain,BHR,1981,37248,5799
Bahrain,BHR,1982,38382,6154
Bahrain,BHR,1983,39108,6516
Bahrain,BHR,1984,39641,6854
Bahrain,BHR,1985,40168,7148
Bahrain,BHR,1986,40716,7385
Bahrain,BHR,1987,41228,7576
Bahrain,BHR,1988,41739,7756
Bahrain,BHR,1989,42170,7935
Bahrain,BHR,1990,42582,8145
Bahrain,BHR,1991,43153,8412
Bahrain,BHR,1992,44334,8644
Bahrain,BHR,1993,45614,8905
Bahrain,BHR,1994,46875,9165
Bahrain,BHR,1995,48057,9436
Bahrain,BHR,1996,49106,9708
Bahrain,BHR,1997,49792,9751
Bahrain,BHR,1998,50315,9651
Bahrain,BHR,1999,49624,8865
Bahrain,BHR,2000,49811,8174
Bahrain,BHR,2001,51224,7692
Bahrain,BHR,2002,56371,7864
Bahrain,BHR,2003,63715,8275
Bahrain,BHR,2004,74011,8989
Bahrain,BHR,2005,87741,10036
Bahrain,BHR,2006,105453,11444
Bahrain,BHR,2007,126499,13153
Bahrain,BHR,2008,145181,14879
Bahrain,BHR,2009,161339,16500
Bahrain,BHR,2010,172887,17850
Bahrain,BHR,2011,179043,18821
Bahrain,BHR,2012,180679,19480
Bangladesh,BGD,1980,10923768,369477
Bangladesh,BGD,1981,11203820,378311
Bangladesh,BGD,1982,11500851,386753
Bangladesh,BGD,1983,11815177,394783
Bangladesh,BGD,1984,12140855,402981
Bangladesh,BGD,1985,12476926,412054
Bangladesh,BGD,1986,12829970,421681
Bangladesh,BGD,1987,13198147,431210
Bangladesh,BGD,1988,13574259,440956
Bangladesh,BGD,1989,13953271,450617
Bangladesh,BGD,1990,14327437,459493
Bangladesh,BGD,1991,14693832,467769
Bangladesh,BGD,1992,15046948,476062
Bangladesh,BGD,1993,15400707,484409
Bangladesh,BGD,1994,15772942,494298
Bangladesh,BGD,1995,16165766,504605
Bangladesh,BGD,1996,16580778,514935
Bangladesh,BGD,1997,17024210,529777
Bangladesh,BGD,1998,17474981,541372
Bangladesh,BGD,1999,17949308,553951
Bangladesh,BGD,2000,18447500,567394
Bangladesh,BGD,2001,18992582,582470
Bangladesh,BGD,2002,19578244,602230
Bangladesh,BGD,2003,20346598,662256
Bangladesh,BGD,2004,20909996,720567
Bangladesh,BGD,2005,21311226,724420
Bangladesh,BGD,2006,21610062,720695
Bangladesh,BGD,2007,21827921,712258
Bangladesh,BGD,2008,21988868,704269
Bangladesh,BGD,2009,22170421,698950
Bangladesh,BGD,2010,22500142,704126
Bangladesh,BGD,2011,22862092,724048
Bangladesh,BGD,2012,23263625,750115
Barbados,BRB,1980,9716,2070
Barbados,BRB,1981,9898,2102
Barbados,BRB,1982,10149,2140
Barbados,BRB,1983,10424,2181
Barbados,BRB,1984,10673,2216
Barbados,BRB,1985,10885,2246
Barbados,BRB,1986,11021,2266
Barbados,BRB,1987,11115,2279
Barbados,BRB,1988,11173,2284
Barbados,BRB,1989,11198,2282
Barbados,BRB,1990,11233,2276
Barbados,BRB,1991,11270,2262
Barbados,BRB,1992,11325,2255
Barbados,BRB,1993,11358,2245
Barbados,BRB,1994,11396,2236
Barbados,BRB,1995,11439,2224
Barbados,BRB,1996,11476,2210
Barbados,BRB,1997,11457,2179
Barbados,BRB,1998,11426,2148
Barbados,BRB,1999,11394,2121
Barbados,BRB,2000,11370,2101
Barbados,BRB,2001,11374,2093
Barbados,BRB,2002,11398,2093
Barbados,BRB,2003,11426,2099
Barbados,BRB,2004,11436,2107
Barbados,BRB,2005,11435,2116
Barbados,BRB,2006,11434,2127
Barbados,BRB,2007,11438,2138
Barbados,BRB,2008,11466,2151
Barbados,BRB,2009,11519,2168
Barbados,BRB,2010,11562,2186
Barbados,BRB,2011,11597,2204
Barbados,BRB,2012,11615,2212
Belarus,BLR,1980,1646515,378832
Belarus,BLR,1981,1678415,384691
Belarus,BLR,1982,1710424,389852
Belarus,BLR,1983,1740523,394155
Belarus,BLR,1984,1768542,398414
Belarus,BLR,1985,1795569,403033
Belarus,BLR,1986,1824205,407695
Belarus,BLR,1987,1852565,411200
Belarus,BLR,1988,1880173,414066
Belarus,BLR,1989,1907898,416850
Belarus,BLR,1990,1928920,418609
Belarus,BLR,1991,1947954,420370
Belarus,BLR,1992,1968359,421704
Belarus,BLR,1993,1985309,422276
Belarus,BLR,1994,1984313,421891
Belarus,BLR,1995,1977951,419610
Belarus,BLR,1996,1980596,415754
Belarus,BLR,1997,1965356,412425
Belarus,BLR,1998,1947756,410654
Belarus,BLR,1999,1929167,409812
Belarus,BLR,2000,1909933,410431
Belarus,BLR,2001,1858532,412540
Belarus,BLR,2002,1798489,415898
Belarus,BLR,2003,1738475,420240
Belarus,BLR,2004,1688382,425239
Belarus,BLR,2005,1648519,430097
Belarus,BLR,2006,1618951,434391
Belarus,BLR,2007,1602252,437685
Belarus,BLR,2008,1600473,440582
Belarus,BLR,2009,1604844,441437
Belarus,BLR,2010,1620856,441828
Belarus,BLR,2011,1673998,443628
Belarus,BLR,2012,1728370,446618
Belgium,BEL,1980,1510731,1034916
Belgium,BEL,1981,1502724,1034812
Belgium,BEL,1982,1495070,1035169
Belgium,BEL,1983,1489386,1035192
Belgium,BEL,1984,1482582,1034178
Belgium,BEL,1985,1476980,1032210
Belgium,BEL,1986,1471993,1029939
Belgium,BEL,1987,1467785,1027807
Belgium,BEL,1988,1472619,1030288
Belgium,BEL,1989,1476392,1033330
Belgium,BEL,1990,1470389,1036336
Belgium,BEL,1991,1468001,1044018
Belgium,BEL,1992,1469891,1061179
Belgium,BEL,1993,1475560,1082074
Belgium,BEL,1994,1478131,1100861
Belgium,BEL,1995,1473933,1098910
Belgium,BEL,1996,1467094,1090132
Belgium,BEL,1997,1444331,1067775
Belgium,BEL,1998,1415165,1042387
Belgium,BEL,1999,1378563,1014419
Belgium,BEL,2000,1318626,982473
Belgium,BEL,2001,1269231,959343
Belgium,BEL,2002,1247107,958132
Belgium,BEL,2003,1222399,954290
Belgium,BEL,2004,1204126,956879
Belgium,BEL,2005,1200032,972486
Belgium,BEL,2006,1209327,994318
Belgium,BEL,2007,1223595,1019035
Belgium,BEL,2008,1240569,1044887
Belgium,BEL,2009,1260260,1071142
Belgium,BEL,2010,1268269,1081645
Belgium,BEL,2011,1274448,1087725
Belgium,BEL,2012,1280008,1091015
Belize,BLZ,1980,7779,759
Belize,BLZ,1981,7918,768
Belize,BLZ,1982,8081,780
Belize,BLZ,1983,8259,796
Belize,BLZ,1984,8449,813
Belize,BLZ,1985,8652,832
Belize,BLZ,1986,8857,851
Belize,BLZ,1987,9061,869
Belize,BLZ,1988,9260,887
Belize,BLZ,1989,9443,905
Belize,BLZ,1990,9608,922
Belize,BLZ,1991,9753,940
Belize,BLZ,1992,9889,962
Belize,BLZ,1993,10030,986
Belize,BLZ,1994,10211,1013
Belize,BLZ,1995,10442,1046
Belize,BLZ,1996,10732,1082
Belize,BLZ,1997,10987,1106
Belize,BLZ,1998,11286,1132
Belize,BLZ,1999,11603,1158
Belize,BLZ,2000,11911,1181
Belize,BLZ,2001,12201,1203
Belize,BLZ,2002,12496,1224
Belize,BLZ,2003,12786,1246
Belize,BLZ,2004,12961,1254
Belize,BLZ,2005,13184,1271
Belize,BLZ,2006,13584,1313
Belize,BLZ,2007,14041,1363
Belize,BLZ,2008,14575,1422
Belize,BLZ,2009,15162,1487
Belize,BLZ,2010,15786,1558
Belize,BLZ,2011,16445,1634
Belize,BLZ,2012,17114,1714
Benin,BEN,1980,156816,36212
Benin,BEN,1981,157775,36564
Benin,BEN,1982,158649,36908
Benin,BEN,1983,161077,37507
Benin,BEN,1984,163716,38206
Benin,BEN,1985,166346,39033
Benin,BEN,1986,169185,39986
Benin,BEN,1987,172952,41128
Benin,BEN,1988,177176,42390
Benin,BEN,1989,182761,43873
Benin,BEN,1990,188849,45433
Benin,BEN,1991,195709,47061
Benin,BEN,1992,203727,48866
Benin,BEN,1993,212396,50783
Benin,BEN,1994,221160,52826
Benin,BEN,1995,228995,54867
Benin,BEN,1996,235884,56829
Benin,BEN,1997,241752,55276
Benin,BEN,1998,247703,54429
Benin,BEN,1999,254454,54080
Benin,BEN,2000,262267,54083
Benin,BEN,2001,270757,54234
Benin,BEN,2002,280068,51970
Benin,BEN,2003,290207,49871
Benin,BEN,2004,300715,47859
Benin,BEN,2005,311634,46016
Benin,BEN,2006,322774,44422
Benin,BEN,2007,333965,42351
Benin,BEN,2008,345385,40819
Benin,BEN,2009,356916,41639
Benin,BEN,2010,369126,42636
Benin,BEN,2011,381532,43945
Benin,BEN,2012,393655,45526
Bhutan,BTN,1980,24054,4429
Bhutan,BTN,1981,24529,4519
Bhutan,BTN,1982,24897,4597
Bhutan,BTN,1983,25186,4666
Bhutan,BTN,1984,25531,4745
Bhutan,BTN,1985,25987,4848
Bhutan,BTN,1986,26573,4985
Bhutan,BTN,1987,27184,5138
Bhutan,BTN,1988,27822,5293
Bhutan,BTN,1989,28219,5396
Bhutan,BTN,1990,28251,5428
Bhutan,BTN,1991,27905,5389
Bhutan,BTN,1992,27242,5291
Bhutan,BTN,1993,26418,5172
Bhutan,BTN,1994,25739,5105
Bhutan,BTN,1995,25354,5112
Bhutan,BTN,1996,25329,5209
Bhutan,BTN,1997,25650,5383
Bhutan,BTN,1998,26308,5609
Bhutan,BTN,1999,27326,5863
Bhutan,BTN,2000,28707,6114
Bhutan,BTN,2001,30459,6341
Bhutan,BTN,2002,32530,6556
Bhutan,BTN,2003,34806,6787
Bhutan,BTN,2004,37082,7013
Bhutan,BTN,2005,39189,7275
Bhutan,BTN,2006,41048,7552
Bhutan,BTN,2007,42712,7833
Bhutan,BTN,2008,44230,8108
Bhutan,BTN,2009,45648,8377
Bhutan,BTN,2010,46965,8632
Bhutan,BTN,2011,48237,8884
Bhutan,BTN,2012,49428,9112
Bolivia,BOL,1980,680514,344990
Bolivia,BOL,1981,698443,354484
Bolivia,BOL,1982,716984,364046
Bolivia,BOL,1983,735929,373974
Bolivia,BOL,1984,755529,384531
Bolivia,BOL,1985,776099,395418
Bolivia,BOL,1986,797309,406735
Bolivia,BOL,1987,819648,418725
Bolivia,BOL,1988,843076,431467
Bolivia,BOL,1989,867102,445085
Bolivia,BOL,1990,891701,459780
Bolivia,BOL,1991,916986,475509
Bolivia,BOL,1992,943511,492259
Bolivia,BOL,1993,971516,510370
Bolivia,BOL,1994,1001180,529400
Bolivia,BOL,1995,1032380,549308
Bolivia,BOL,1996,1065463,570292
Bolivia,BOL,1997,1084828,559330
Bolivia,BOL,1998,1109268,556055
Bolivia,BOL,1999,1136031,557975
Bolivia,BOL,2000,1164412,561557
Bolivia,BOL,2001,1192326,564319
Bolivia,BOL,2002,1218066,563960
Bolivia,BOL,2003,1239883,558001
Bolivia,BOL,2004,1256163,544738
Bolivia,BOL,2005,1247240,490049
Bolivia,BOL,2006,1233369,436948
Bolivia,BOL,2007,1218357,390728
Bolivia,BOL,2008,1206800,355381
Bolivia,BOL,2009,1218408,351060
Bolivia,BOL,2010,1236634,353311
Bolivia,BOL,2011,1260519,360349
Bolivia,BOL,2012,1288572,371434
Bosnia and Herzegovina,BIH,1980,649346,427574
Bosnia and Herzegovina,BIH,1981,669613,439131
Bosnia and Herzegovina,BIH,1982,689374,449949
Bosnia and Herzegovina,BIH,1983,708424,460139
Bosnia and Herzegovina,BIH,1984,727732,470815
Bosnia and Herzegovina,BIH,1985,747876,482004
Bosnia and Herzegovina,BIH,1986,770605,494371
Bosnia and Herzegovina,BIH,1987,793772,507080
Bosnia and Herzegovina,BIH,1988,811871,517625
Bosnia and Herzegovina,BIH,1989,818044,521978
Bosnia and Herzegovina,BIH,1990,806462,517001
Bosnia and Herzegovina,BIH,1991,775324,501828
Bosnia and Herzegovina,BIH,1992,728851,478597
Bosnia and Herzegovina,BIH,1993,676713,451981
Bosnia and Herzegovina,BIH,1994,632169,429128
Bosnia and Herzegovina,BIH,1995,604728,415144
Bosnia and Herzegovina,BIH,1996,602553,414510
Bosnia and Herzegovina,BIH,1997,615549,421060
Bosnia and Herzegovina,BIH,1998,635933,431404
Bosnia and Herzegovina,BIH,1999,655487,440603
Bosnia and Herzegovina,BIH,2000,667820,444757
Bosnia and Herzegovina,BIH,2001,671641,443049
Bosnia and Herzegovina,BIH,2002,669425,437398
Bosnia and Herzegovina,BIH,2003,660405,425041
Bosnia and Herzegovina,BIH,2004,651811,416909
Bosnia and Herzegovina,BIH,2005,643825,410457
Bosnia and Herzegovina,BIH,2006,636796,405161
Bosnia and Herzegovina,BIH,2007,630563,400442
Bosnia and Herzegovina,BIH,2008,625509,396139
